datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipcover,preciptype,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,moonphase,conditions
2020-04-02,21.1,18.0,19.8,21.1,18.0,19.8,18.5,92.2,0.796,12.5,rain,14.8,8.5,42.6,1012.9,84.8,5.3,56.2,4.9,0.3,"Rain, Partially cloudy"
2020-04-03,22.7,20.0,21.1,22.7,20.0,21.1,20.1,93.9,1.401,8.33,rain,24.1,19.4,43.6,1013.2,85.4,4.2,74.7,6.4,0.33,"Rain, Partially cloudy"
2020-04-04,21.0,17.9,19.2,21.0,17.9,19.2,16.8,86.0,2.406,12.5,rain,27.4,20.5,29.7,1016.3,80.3,9.0,47.4,4.0,0.37,"Rain, Partially cloudy"
2020-04-05,19.4,16.0,18.2,19.4,16.0,18.2,13.5,74.4,0.409,8.33,rain,23.4,16.6,9.0,1018.5,88.3,10.0,54.9,4.6,0.4,"Rain, Partially cloudy"
2020-04-06,19.9,16.0,17.4,19.9,16.0,17.4,14.9,85.2,1.397,8.33,rain,22.7,10.3,3.2,1016.7,81.9,9.0,96.6,8.4,0.44,"Rain, Partially cloudy"
2020-04-07,23.0,17.0,19.5,23.0,17.0,19.5,15.6,78.8,0.606,8.33,rain,21.6,11.2,7.6,1015.6,65.9,8.6,127.4,11.1,0.47,"Rain, Partially cloudy"
2020-04-08,23.0,18.0,20.3,23.0,18.0,20.3,17.6,84.8,4.063,4.17,rain,15.5,9.4,274.3,1016.0,60.7,5.5,127.7,10.9,0.5,"Rain, Partially cloudy"
2020-04-09,26.0,20.0,22.6,26.0,20.0,22.6,18.6,78.7,0.0,0.0,noprecip,23.0,13.0,207.5,1016.4,51.6,5.8,146.3,12.5,0.54,Partially cloudy
2020-04-10,28.3,21.0,23.9,30.9,21.0,24.1,20.0,79.2,0.1,4.17,rain,28.1,15.9,96.3,1014.7,73.9,6.7,160.6,13.9,0.57,"Rain, Partially cloudy"
2020-04-11,29.0,22.0,25.3,32.0,22.0,26.2,21.9,81.8,1.9,12.5,rain,27.4,13.9,103.8,1013.3,65.0,5.8,161.1,14.0,0.6,"Rain, Partially cloudy"
2020-04-12,24.1,18.0,20.3,24.1,18.0,20.3,16.6,80.1,25.821,12.5,rain,43.9,25.9,19.6,1018.4,60.0,9.0,146.0,12.7,0.64,"Rain, Partially cloudy"
2020-04-13,18.1,15.0,16.6,18.1,15.0,16.6,13.4,82.2,7.028,12.5,rain,30.6,15.7,313.6,1020.9,70.3,9.7,181.8,15.8,0.67,"Rain, Partially cloudy"
2020-04-14,25.0,14.0,19.2,25.0,14.0,19.2,13.1,70.3,0.0,0.0,noprecip,18.7,13.8,204.6,1017.1,33.5,9.2,251.2,21.5,0.7,Partially cloudy
2020-04-15,26.0,17.0,21.6,26.0,17.0,21.6,16.7,74.3,0.0,0.0,noprecip,33.8,19.4,108.0,1014.1,71.6,7.0,234.1,20.2,0.75,Partially cloudy
2020-04-16,25.6,21.0,23.1,25.6,21.0,23.1,20.5,85.3,0.4,12.5,rain,33.8,13.0,107.6,1011.2,81.1,5.0,120.8,10.4,0.77,"Rain, Partially cloudy"
2020-04-17,26.0,23.0,24.3,26.0,23.0,24.3,22.5,89.7,0.201,12.5,rain,30.6,17.5,130.6,1011.3,81.4,6.9,109.4,9.4,0.8,"Rain, Partially cloudy"
2020-04-18,32.0,23.0,26.4,36.3,23.0,28.0,22.6,80.5,0.495,4.17,rain,31.3,21.4,125.0,1010.2,65.7,8.6,175.8,15.2,0.84,"Rain, Partially cloudy"
2020-04-19,28.9,24.5,26.1,34.0,24.5,27.2,23.6,86.1,0.0,0.0,noprecip,25.9,18.5,104.5,1009.3,76.0,7.3,175.2,15.1,0.87,Partially cloudy
2020-04-20,30.1,24.0,27.0,35.4,24.0,29.3,23.6,82.2,0.099,4.17,rain,27.7,18.4,124.9,1009.8,69.9,8.4,160.3,13.8,0.9,"Rain, Partially cloudy"
2020-04-21,29.8,25.3,27.0,35.4,25.3,29.1,24.1,84.5,0.099,4.17,rain,33.5,20.5,111.5,1008.9,76.7,7.2,213.1,18.3,0.94,"Rain, Partially cloudy"
2020-04-22,26.5,21.5,24.7,26.5,21.5,24.7,22.4,87.4,1.088,8.33,rain,31.0,18.5,85.1,1011.1,73.7,7.9,91.8,7.9,0.97,"Rain, Partially cloudy"
2020-04-23,22.3,19.0,20.8,22.3,19.0,20.8,17.6,82.3,4.065,8.33,rain,27.7,24.1,40.2,1015.8,79.5,9.8,42.3,3.7,0.0,"Rain, Partially cloudy"
2020-04-24,19.0,16.5,17.6,19.0,16.5,17.6,15.0,84.7,21.905,12.5,rain,26.6,18.4,356.9,1020.6,70.1,9.1,56.0,4.9,0.04,"Rain, Partially cloudy"
2020-04-25,21.3,17.0,18.8,21.3,17.0,18.8,15.0,79.4,1.586,12.5,rain,21.6,9.3,320.2,1019.7,65.7,9.2,91.9,7.9,0.07,"Rain, Partially cloudy"
2020-04-26,23.0,18.0,20.0,23.0,18.0,20.0,16.5,81.0,0.495,8.33,rain,27.4,13.9,303.5,1019.9,60.6,9.0,97.7,8.5,0.11,"Rain, Partially cloudy"
2020-04-27,29.4,16.5,23.0,29.3,16.5,23.0,16.2,68.7,0.099,4.17,rain,25.9,13.9,291.4,1018.2,36.7,8.6,287.6,24.7,0.14,"Rain, Partially cloudy"
2020-04-28,31.0,19.0,25.2,30.4,19.0,25.2,17.0,62.9,0.0,0.0,noprecip,16.2,13.9,121.1,1016.2,31.6,9.1,293.6,25.3,0.18,Partially cloudy
2020-04-29,30.0,21.0,25.5,31.0,21.0,25.9,19.1,69.2,1.2,8.33,rain,20.2,14.2,115.6,1015.1,27.0,8.3,260.1,22.2,0.21,"Rain, Partially cloudy"
2020-04-30,29.8,22.5,25.5,32.1,22.5,26.3,20.9,76.7,0.099,4.17,rain,25.6,13.9,117.8,1013.7,49.1,8.6,206.8,17.9,0.25,"Rain, Partially cloudy"
2020-05-01,27.0,23.0,24.3,29.3,23.0,24.4,22.1,87.6,11.093,8.33,rain,34.2,13.0,98.6,1010.9,68.3,7.3,164.6,14.1,0.25,"Rain, Partially cloudy"
2020-05-02,32.1,23.0,27.1,36.8,23.0,28.8,22.4,76.8,0.0,0.0,noprecip,25.6,16.6,130.7,1008.5,54.0,7.6,182.3,15.7,0.32,Partially cloudy
2020-05-03,31.0,25.5,28.0,37.1,25.5,31.1,24.1,79.8,0.0,0.0,noprecip,25.6,16.6,129.3,1007.9,70.8,9.0,226.3,19.5,0.35,Partially cloudy
2020-05-04,34.7,26.0,29.4,43.6,26.0,34.2,24.9,77.4,0.0,0.0,noprecip,29.9,25.9,119.7,1007.3,59.0,9.0,252.9,21.8,0.39,Partially cloudy
2020-05-05,33.1,27.0,29.2,43.1,30.1,34.8,25.3,80.1,0.0,0.0,noprecip,32.8,21.4,113.0,1006.3,68.8,8.6,278.2,24.0,0.42,Partially cloudy
2020-05-06,32.4,26.0,28.6,41.8,26.0,33.0,24.9,80.9,0.0,0.0,noprecip,30.2,21.4,105.2,1005.1,58.6,9.8,285.7,24.7,0.46,Partially cloudy
2020-05-07,32.7,26.0,28.9,43.8,26.0,34.5,25.6,82.9,0.0,0.0,noprecip,33.1,18.4,96.0,1004.4,79.5,9.1,286.4,24.6,0.5,Partially cloudy
2020-05-08,33.7,24.0,28.9,44.9,24.0,34.3,25.2,81.3,0.0,0.0,noprecip,28.8,30.5,101.0,1004.3,63.7,9.6,276.1,23.9,0.52,Partially cloudy
2020-05-09,34.5,24.0,28.4,44.7,24.0,33.0,24.5,80.2,8.015,8.33,rain,23.8,17.5,97.7,1006.4,52.9,8.5,297.6,25.7,0.56,"Rain, Partially cloudy"
2020-05-10,35.4,27.0,30.6,43.3,29.4,36.4,24.7,72.4,0.099,4.17,rain,23.4,19.4,100.3,1006.8,44.2,8.6,293.8,25.4,0.59,"Rain, Partially cloudy"
2020-05-11,32.5,27.0,29.4,41.6,30.6,35.5,25.4,79.5,1.0,4.17,rain,31.0,20.5,114.4,1008.1,70.4,9.5,232.0,20.1,0.62,"Rain, Partially cloudy"
2020-05-12,30.4,23.2,27.5,34.9,23.2,30.5,23.4,78.9,36.158,8.33,rain,25.9,13.9,84.4,1010.5,66.0,9.7,80.9,6.9,0.66,"Rain, Partially cloudy"
2020-05-13,33.0,23.0,27.3,39.9,23.0,29.6,23.7,81.1,8.212,4.17,rain,35.6,23.1,147.2,1009.4,70.0,8.9,236.2,20.3,0.69,"Rain, Partially cloudy"
